measnum,varname,strain,strainid,sex,mean,nmice,sd,sem,cv,minval,maxval,zscore
62007,periphery_dist_pct,BXD31,1131,f,68.5,10,13.6,4.29,0.198,45.3,87.1,0.90
62007,periphery_dist_pct,BXD32,1132,f,61.1,10,10.6,3.35,0.173,47.8,78.1,0.12
62007,periphery_dist_pct,BXD33,1133,f,41.4,1,0,0,0,41.4,41.4,-1.98
62007,periphery_dist_pct,BXD34,1134,f,56.5,2,4.89,3.45,0.0865,53.1,60.0,-0.37
62007,periphery_dist_pct,BXD39,1139,f,64.3,10,10.3,3.25,0.160,52.5,80.6,0.46
62007,periphery_dist_pct,BXD40,1140,f,43.5,10,21.7,6.86,0.498,0.390,64.4,-1.75
62007,periphery_dist_pct,BXD42,1142,f,62.2,10,7.91,2.50,0.127,56.3,79.3,0.23
62007,periphery_dist_pct,BXD43,1143,f,54.0,10,9.89,3.13,0.183,42.8,77.4,-0.64
62007,periphery_dist_pct,BXD44,1144,f,65.9,10,9.90,3.13,0.150,50.2,79.5,0.63
62007,periphery_dist_pct,BXD48,1148,f,48.2,10,7.95,2.51,0.165,33.8,58.4,-1.25
62007,periphery_dist_pct,BXD49,1149,f,60.8,10,11.9,3.75,0.195,39.4,77.9,0.08
62007,periphery_dist_pct,BXD50,1150,f,58.1,10,5.40,1.71,0.0930,49.8,66.6,-0.20
62007,periphery_dist_pct,BXD51,1151,f,81.1,10,7.27,2.30,0.0897,67.5,89.9,2.24
62007,periphery_dist_pct,BXD6,1106,f,67.7,10,11.1,3.51,0.164,48.2,88.1,0.82
62007,periphery_dist_pct,BXD61,1161,f,64.2,10,6.79,2.15,0.106,52.9,73.8,0.45
62007,periphery_dist_pct,BXD62,1162,f,58.1,10,16.3,5.15,0.280,21.2,74.4,-0.20
62007,periphery_dist_pct,BXD65,1165,f,52.8,6,9.37,3.83,0.178,42.0,66.9,-0.77
62007,periphery_dist_pct,BXD66,1166,f,59.5,4,6.49,3.25,0.109,54.1,68.8,-0.05
62007,periphery_dist_pct,BXD68,1168,f,60.7,4,11.5,5.74,0.189,46.2,74.3,0.07
62007,periphery_dist_pct,BXD69,1169,f,49.3,10,6.09,1.93,0.124,40.8,62.9,-1.14
62007,periphery_dist_pct,BXD70,1170,f,54.9,10,12.7,4.01,0.231,27.5,72.8,-0.54
62007,periphery_dist_pct,BXD73,1173,f,77.7,10,9.42,2.98,0.121,64.4,90.2,1.88
62007,periphery_dist_pct,BXD75,1175,f,45.5,10,13.6,4.29,0.298,21.7,65.8,-1.54
62007,periphery_dist_pct,BXD77,1177,f,36.3,4,6.75,3.37,0.186,26.9,42.5,-2.52
62007,periphery_dist_pct,BXD8,1108,f,52.7,10,9.87,3.12,0.187,41.0,70.3,-0.78
62007,periphery_dist_pct,BXD80,1180,f,71.9,10,9.57,3.03,0.133,49.1,80.4,1.26
62007,periphery_dist_pct,BXD81,1181,f,52.3,10,7.57,2.40,0.145,42.9,65.1,-0.82
62007,periphery_dist_pct,BXD84,1184,f,61.8,10,11.6,3.66,0.187,46.8,81.2,0.19
62007,periphery_dist_pct,BXD85,1185,f,59.1,4,2.45,1.22,0.0414,57.2,62.6,-0.10
62007,periphery_dist_pct,BXD86,1186,f,57.4,10,7.78,2.46,0.136,41.1,68.2,-0.28
62007,periphery_dist_pct,BXD87,1187,f,77.1,10,14.2,4.48,0.184,42.0,90.6,1.82
62007,periphery_dist_pct,BXD89,1189,f,55.5,10,9.03,2.85,0.163,40.9,67.2,-0.48
62007,periphery_dist_pct,BXD90,1190,f,64.1,6,4.51,1.84,0.0704,58.2,70.5,0.43
62007,periphery_dist_pct,BXD92,1192,f,55.2,2,8.68,6.14,0.157,49.1,61.3,-0.51
62007,periphery_dist_pct,BXD96,1196,f,54.5,10,6.49,2.05,0.119,45.5,64.0,-0.58
62007,periphery_dist_pct,BXD97,1197,f,55.7,10,12.4,3.93,0.223,28.0,71.9,-0.46
62007,periphery_dist_pct,BXD98,1198,f,68.8,6,10.3,4.19,0.149,54.3,80.3,0.93
62007,periphery_dist_pct,C57BL/6J,7,f,58.9,10,6.34,2.01,0.108,46.2,66.0,-0.12
62007,periphery_dist_pct,DBA/2J,8,f,80.6,10,9.49,3.00,0.118,56.6,88.1,2.19
62007,periphery_dist_pct,BXD1,1101,m,61.7,2,0.332,0.235,0.00539,61.4,61.9,0.44
62007,periphery_dist_pct,BXD100,1100,m,52.7,10,7.50,2.37,0.142,41.1,64.0,-0.66
62007,periphery_dist_pct,BXD101,1091,m,62.4,8,8.12,2.87,0.130,52.2,75.6,0.53
62007,periphery_dist_pct,BXD102,1092,m,59.7,10,5.22,1.65,0.0874,50.6,65.6,0.19
62007,periphery_dist_pct,BXD11,1111,m,64.6,10,12.5,3.96,0.194,51.8,88.3,0.79
62007,periphery_dist_pct,BXD13,1113,m,66.6,10,7.82,2.47,0.117,49.0,75.2,1.04
62007,periphery_dist_pct,BXD14,1114,m,44.9,10,13.4,4.23,0.298,33.2,79.4,-1.62
62007,periphery_dist_pct,BXD15,1115,m,72.5,10,9.36,2.96,0.129,63.7,93.7,1.76
62007,periphery_dist_pct,BXD16,1116,m,58.3,10,12.4,3.91,0.212,42.9,75.2,0.02
62007,periphery_dist_pct,BXD18,1118,m,54.8,2,9.91,7.01,0.181,47.7,61.8,-0.41
62007,periphery_dist_pct,BXD19,1119,m,57.8,2,5.13,3.63,0.0888,54.2,61.4,-0.04
62007,periphery_dist_pct,BXD2,1102,m,52.7,10,10.4,3.29,0.197,38.6,70.5,-0.66
62007,periphery_dist_pct,BXD21,1121,m,45.5,10,8.78,2.78,0.193,34.3,60.3,-1.54
62007,periphery_dist_pct,BXD27,1127,m,71.4,10,17.4,5.49,0.243,35.1,99.2,1.63
62007,periphery_dist_pct,BXD28,1128,m,64.1,10,14.3,4.51,0.223,46.1,88.2,0.73
62007,periphery_dist_pct,BXD31,1131,m,55.4,10,12.2,3.87,0.221,30.7,79.2,-0.33
62007,periphery_dist_pct,BXD32,1132,m,58.9,10,6.51,2.06,0.111,44.1,68.6,0.10
62007,periphery_dist_pct,BXD33,1133,m,45.3,1,0,0,0,45.3,45.3,-1.57
62007,periphery_dist_pct,BXD34,1134,m,51.1,2,0.247,0.175,0.00484,51.0,51.3,-0.86
62011,jump,BXD90,1190,f,0,6,0,0,0,0,0,-0.48
62007,periphery_dist_pct,BXD39,1139,m,70.3,10,10.9,3.46,0.155,53.0,83.8,1.49
